# Units of measurement -> spoken form, with count agreement.
# Abbreviation inventory informed by NVIDIA NeMo-text-processing
#   (ru/data/measurements.tsv, Apache-2.0). Forms here are standard Russian
#   declensions written/checked by hand, because NeMo's own forms contain
#   spelling errors (e.g. it lists "кг" as "килограм"/"килограмов", one м).
#
# Format: <abbr><TAB><one><TAB><few (2-4)><TAB><many (5+, 0, 11-14)><TAB><gender m|f>
#   one  -> "1 X"  (один/одна X)        few -> "2-4 X"  (два/две X)
#   many -> "5+ X" (пять X)             gender selects один/одна, два/две for the numeral
# Matching is case-sensitive (км != КМ, Вт != вт) and requires a number before the unit.
# Ambiguous one-letter abbreviations (г=грамм/год, т=тонна/том, с=секунда/предлог) are omitted.
#
# length
км	километр	километра	километров	m
м	метр	метра	метров	m
см	сантиметр	сантиметра	сантиметров	m
мм	миллиметр	миллиметра	миллиметров	m
дм	дециметр	дециметра	дециметров	m
# mass
кг	килограмм	килограмма	килограммов	m
мг	миллиграмм	миллиграмма	миллиграммов	m
# volume
л	литр	литра	литров	m
мл	миллилитр	миллилитра	миллилитров	m
# time
ч	час	часа	часов	m
мин	минута	минуты	минут	f
сек	секунда	секунды	секунд	f
# area / volume
га	гектар	гектара	гектаров	m
м²	квадратный метр	квадратных метра	квадратных метров	m
м2	квадратный метр	квадратных метра	квадратных метров	m
км²	квадратный километр	квадратных километра	квадратных километров	m
км2	квадратный километр	квадратных километра	квадратных километров	m
см²	квадратный сантиметр	квадратных сантиметра	квадратных сантиметров	m
м³	кубический метр	кубических метра	кубических метров	m
м3	кубический метр	кубических метра	кубических метров	m
# speed
км/ч	километр в час	километра в час	километров в час	m
м/с	метр в секунду	метра в секунду	метров в секунду	m
# frequency
Гц	герц	герца	герц	m
кГц	килогерц	килогерца	килогерц	m
МГц	мегагерц	мегагерца	мегагерц	m
ГГц	гигагерц	гигагерца	гигагерц	m
# power / electricity
Вт	ватт	ватта	ватт	m
кВт	киловатт	киловатта	киловатт	m
МВт	мегаватт	мегаватта	мегаватт	m
В	вольт	вольта	вольт	m
кВ	киловольт	киловольта	киловольт	m
А	ампер	ампера	ампер	m
мА	миллиампер	миллиампера	миллиампер	m
Ом	ом	ома	ом	m
# data
бит	бит	бита	бит	m
байт	байт	байта	байт	m
КБ	килобайт	килобайта	килобайт	m
МБ	мегабайт	мегабайта	мегабайт	m
ГБ	гигабайт	гигабайта	гигабайт	m
ТБ	терабайт	терабайта	терабайт	m
# temperature (degrees; °C / °F handled separately)
°	градус	градуса	градусов	m
